year,month,day_endofweek,Date,statefips,state_name,contclaims_count_regular,contclaims_count_peuc,contclaims_count_pua,pand_claims,contclaims_count_combined,reg_reg_claims,reg_pand_claim,early_reg_claim,early_pand_claims,binary_dumb,covid_cases,covid_death_count,full_vaccine
2020,2,8,2/8/20,54,West Virginia,16588,0,0,0,16588,.,.,16588,0,0,0,0,0
2020,2,8,2/8/20,55,Wisconsin,44477,0,0,0,44477,44477,0,.,.,0,0,0,0
2020,2,8,2/8/20,56,Wyoming,3507,0,0,0,3507,.,.,3507,0,0,0,0,0
2020,2,15,2/15/20,1,Alabama,16571,0,0,0,16571,.,.,16571,0,0,0,0,0
2020,2,15,2/15/20,2,Alaska,9343,0,0,0,9343,.,.,9343,0,0,0,0,0
2020,2,15,2/15/20,4,Arizona,18516,0,0,0,18516,.,.,18516,0,0,0,0,0
2020,2,15,2/15/20,5,Arkansas,12979,0,0,0,12979,.,.,12979,0,0,0,0,0
2020,2,15,2/15/20,6,California,375305,0,0,0,375305,375305,0,.,.,0,0,0,0
2020,2,15,2/15/20,8,Colorado,22076,0,0,0,22076,22076,0,.,.,0,0,0,0
2020,2,15,2/15/20,9,Connecticut,39384,0,0,0,39384,39384,0,.,.,0,0,0,0
2020,2,15,2/15/20,10,Delaware,5917,0,0,0,5917,5917,0,.,.,0,0,0,0
2020,2,15,2/15/20,11,District of Columbia,7079,0,0,0,7079,7079,0,.,.,0,0,0,0
2020,2,15,2/15/20,12,Florida,34449,0,0,0,34449,.,.,34449,0,0,0,0,0
2020,2,15,2/15/20,13,Georgia,27317,0,0,0,27317,.,.,27317,0,0,0,0,0
2020,2,15,2/15/20,15,Hawaii,6121,0,0,0,6121,6121,0,.,.,0,0,0,0
2020,2,15,2/15/20,16,Idaho,11334,0,0,0,11334,.,.,11334,0,0,0,0,0
2020,2,15,2/15/20,17,Illinois,133765,0,0,0,133765,133765,0,.,.,0,0,0,0
2020,2,15,2/15/20,18,Indiana,22352,0,0,0,22352,.,.,22352,0,0,0,0,0
2020,2,15,2/15/20,19,Iowa,30799,0,0,0,30799,.,.,30799,0,0,0,0,0
2020,2,15,2/15/20,20,Kansas,11666,0,0,0,11666,11666,0,.,.,0,0,0,0
2020,2,15,2/15/20,21,Kentucky,23076,0,0,0,23076,23076,0,.,.,0,0,0,0
2020,2,15,2/15/20,22,Louisiana,15057,0,0,0,15057,.,.,15057,0,0,0,0,0
2020,2,15,2/15/20,23,Maine,8896,0,0,0,8896,8896,0,.,.,0,0,0,0
2020,2,15,2/15/20,24,Maryland,29219,0,0,0,29219,.,.,29219,0,0,0,0,0
2020,2,15,2/15/20,25,Massachusetts,76912,0,0,0,76912,76912,0,.,.,0,0,0,0
2020,2,15,2/15/20,26,Michigan,79149,0,0,0,79149,79149,0,.,.,0,0,0,0
2020,2,15,2/15/20,27,Minnesota,63956,0,0,0,63956,63956,0,.,.,0,0,0,0
2020,2,15,2/15/20,28,Mississippi,8216,0,0,0,8216,.,.,8216,0,0,0,0,0
2020,2,15,2/15/20,29,Missouri,27362,0,0,0,27362,.,.,27362,0,0,0,0,0
2020,2,15,2/15/20,30,Montana,11479,0,0,0,11479,.,.,11479,0,0,0,0,0
2020,2,15,2/15/20,31,Nebraska,6956,0,0,0,6956,.,.,6956,0,0,0,0,0
2020,2,15,2/15/20,32,Nevada,19585,0,0,0,19585,19585,0,.,.,0,0,0,0
2020,2,15,2/15/20,33,New Hampshire,4015,0,0,0,4015,.,.,.,.,0,0,0,0
2020,2,15,2/15/20,34,New Jersey,110016,0,0,0,110016,110016,0,.,.,0,0,0,0
2020,2,15,2/15/20,35,New Mexico,9987,0,0,0,9987,9987,0,.,.,0,0,0,0
2020,2,15,2/15/20,36,New York,164111,0,0,0,164111,164111,0,.,.,0,0,0,0
2020,2,15,2/15/20,37,North Carolina,21972,0,0,0,21972,21972,0,.,.,0,0,0,0
2020,2,15,2/15/20,38,North Dakota,6924,0,0,0,6924,.,.,6924,0,0,0,0,0
2020,2,15,2/15/20,39,Ohio,71214,0,0,0,71214,.,.,71214,0,0,0,0,0
2020,2,15,2/15/20,40,Oklahoma,17513,0,0,0,17513,.,.,17513,0,0,0,0,0
2020,2,15,2/15/20,41,Oregon,31167,0,0,0,31167,31167,0,.,.,0,0,0,0
2020,2,15,2/15/20,42,Pennsylvania,136149,0,0,0,136149,136149,0,.,.,0,0,0,0
2020,2,15,2/15/20,44,Rhode Island,11164,0,0,0,11164,11164,0,.,.,0,0,0,0
2020,2,15,2/15/20,45,South Carolina,16547,0,0,0,16547,.,.,16547,0,0,0,0,0
2020,2,15,2/15/20,46,South Dakota,3196,0,0,0,3196,.,.,3196,0,0,0,0,0
2020,2,15,2/15/20,47,Tennessee,20485,0,0,0,20485,.,.,20485,0,0,0,0,0
2020,2,15,2/15/20,48,Texas,133475,0,0,0,133475,.,.,133475,0,0,2,0,0
2020,2,15,2/15/20,49,Utah,12131,0,0,0,12131,.,.,12131,0,0,0,0,0
2020,2,15,2/15/20,50,Vermont,4931,0,0,0,4931,4931,0,.,.,0,0,0,0
2020,2,15,2/15/20,51,Virginia,22481,0,0,0,22481,22481,0,.,.,0,0,0,0
2020,2,15,2/15/20,53,Washington,61819,0,0,0,61819,61819,0,.,.,0,0,0,0
2020,2,15,2/15/20,54,West Virginia,16856,0,0,0,16856,.,.,16856,0,0,0,0,0
2020,2,15,2/15/20,55,Wisconsin,44163,0,0,0,44163,44163,0,.,.,0,0,0,0
2020,2,15,2/15/20,56,Wyoming,3699,0,0,0,3699,.,.,3699,0,0,0,0,0
2020,2,22,2/22/20,1,Alabama,16059,0,0,0,16059,.,.,16059,0,0,0,0,0
2020,2,22,2/22/20,2,Alaska,8864,0,0,0,8864,.,.,8864,0,0,0,0,0
2020,2,22,2/22/20,4,Arizona,18217,0,0,0,18217,.,.,18217,0,0,0,0,0
2020,2,22,2/22/20,5,Arkansas,12546,0,0,0,12546,.,.,12546,0,0,0,0,0
2020,2,22,2/22/20,6,California,349252,0,0,0,349252,349252,0,.,.,0,0,0,0
2020,2,22,2/22/20,8,Colorado,23694,0,0,0,23694,23694,0,.,.,0,0,0,0
2020,2,22,2/22/20,9,Connecticut,41691,0,0,0,41691,41691,0,.,.,0,0,0,0
2020,2,22,2/22/20,10,Delaware,5921,0,0,0,5921,5921,0,.,.,0,0,0,0
2020,2,22,2/22/20,11,District of Columbia,7003,0,0,0,7003,7003,0,.,.,0,0,0,0
2020,2,22,2/22/20,12,Florida,33570,0,0,0,33570,.,.,33570,0,0,0,0,0
2020,2,22,2/22/20,13,Georgia,26963,0,0,0,26963,.,.,26963,0,0,0,0,0
2020,2,22,2/22/20,15,Hawaii,6223,0,0,0,6223,6223,0,.,.,0,0,0,0
2020,2,22,2/22/20,16,Idaho,11275,0,0,0,11275,.,.,11275,0,0,0,0,0
